,0,1,2,3,4,5,6,7,8,9
0,1214.9357908248708,949.3045945687779,1213.4712526050416,1145.5809394391313,992.8244044115916,1087.0702291442126,1155.8599176218383,959.8356019403935,1304.550678686819,1022.463818377611
1,1556.3537356603465,2794.478458726782,1238.859435894223,1867.3639622389337,1530.0969283949844,1763.0490853687047,1560.9843796479654,1902.1381334569353,1419.6658139346407,1901.0199507698323
2,1612.1622018919961,1408.8272247734708,1475.3119236402395,1857.369122842551,1430.6335548117509,1467.945475261463,1521.037466837436,1471.4258106530913,1742.7166478457734,2079.337401555323
3,-5.260943330720782,-5.36572078432358,-10.201544208081627,-5.260943330975419,-10.201544255836925,-10.201544223933496,-20.306399130026357,-20.306399307096488,-20.30639926380686,-5.365720785840172
4,-5.365720790347644,-20.306398883647514,-20.306399249148694,-10.20154418880012,-5.365720781706755,-20.30639803568061,-10.201544175798025,-20.30639893984949,-20.306399179795402,-5.365720784923024
5,-5.365720785732836,-20.306399320463704,-20.306398658984772,-20.306398500627296,-10.201544250713486,-5.260943315075252,-20.30639812624004,-20.306399121954787,-5.260943329455315,-20.306393749379325
6,413.3941880545984,361.53571730159575,475.96190024713394,714.3990374801475,452.6024235122173,535.3309170203505,390.40338526149947,704.1428021314581,465.6743888749008,524.3336571290015
7,667.1012990086329,484.89965863861175,502.25120000960464,776.733169503448,480.4771595432662,658.646057837251,720.4204435565858,627.6772610466767,569.3372160470151,386.28918287227407
8,495.23621892415576,481.8669738390701,432.1860289948563,555.2339727940016,692.0433264442247,640.1644826302879,508.8768261687034,409.68151124610205,779.3985612558465,362.93348687632636
9,-20.306396147505207,-5.260943275089352,-20.306398694227735,-5.260943263062792,-20.306398296360214,-5.365720764858375,-20.306396603685027,-20.306399239675535,-5.260943319817212,-10.201543897377826
10,-5.36572069010911,-10.20154415768112,-20.306398576757,-10.201543891661844,-5.260943277858533,-20.306399175526515,-20.30639866277439,-10.201544011894226,-10.201544085605123,-10.201544065653097
11,-10.110395330748778,-20.30639652292247,-20.30639892057642,-20.306395144272027,-20.3063941297048,-5.36572075985173,-20.306396867650538,-20.30639083180056,-5.365720610912843,-5.365720706564832
12,677.1849653480739,1004.9396156367611,833.6383708473322,1045.0049041402233,1103.1871363244563,488.89386070616825,998.97440295619,560.7618545524032,904.8619564855637,751.1270465722517
13,1215.6146957733736,5488.7239949931545,1150.4291837369751,1229.844571353721,2801.499560242851,1187.6775608027197,1036.286602444608,1243.978881225033,1255.9367741069939,4434.993396095986
14,1309.1953030201034,1237.533377942849,4181.5946480320645,1327.6007505563025,901.8174127829217,1272.8219873678538,1165.3020866774655,916.2281893898767,1209.9902684352126,1235.2212609772102
15,-20.306399284090954,-5.260943318752171,-20.30639924229871,-20.306398950636744,-5.36572078331921,-5.260943314953801,-20.306398868452575,-10.201544053623811,-5.365720791186938,-20.306399275926797
16,-20.306397772184724,-5.365720746987238,-10.110395414712146,-10.110395265451116,-5.365720778258057,-20.306399067202772,-5.260943331098574,-5.36572076966376,-20.30639889221884,-5.260943326517479
17,-20.30639904133163,-20.30639920274625,-10.201544177611174,-20.30639891351667,-5.365720723088547,-20.306398325648452,-5.365720764138209,-10.110395352624188,-10.201544083969305,-10.201543592281208
18,991.0543133493079,1142.3734911160414,1754.2251874874555,1045.280870006088,3364.8269338661116,6321.660717401957,1037.2288806817814,1029.1617277936375,898.3461273079313,804.4583989296191
19,1277.7866271244839,4953.207702087494,6446.357328495586,1670.0049362060338,1558.1500260632226,1230.8865254514897,1498.6997550222404,1562.554572621196,1302.4051850114229,1280.0584482393274
20,2143.1190695516007,1522.4493393915873,6572.794511585068,1401.7497324841638,1615.3374883569766,1418.2014673107985,5774.9109226548835,1450.5237293495902,1494.5180525089302,1596.0851616211448
21,-5.260943335929081,-5.260943334018791,-20.30639842592168,-10.201544222671451,-5.365720785361723,-5.36572073272062,-5.365720759150249,-10.201544274538248,-5.365720787620665,-20.30639899716919
22,-5.260943306390507,-20.306399308391384,-10.110395280645706,-5.260943328173768,-5.260943308211151,-5.260943298508061,-20.306399297187532,-20.30639934208941,-5.260943261025345,-5.365720765099924
23,-20.30639873251691,-5.365720760353964,-20.306398093595583,-20.30639912588512,-10.110395070014022,-5.365720774522405,-5.260943292384467,-20.306399321824877,-20.30639905446801,-20.306397302048957
24,646.5497489335299,778.095881275314,773.2948183786631,984.5896414438704,958.6661517078858,709.6534568035697,641.571538229208,884.7073791177694,961.3028896539083,778.698150101604
25,1280.2350609519808,5686.690857404102,1334.760158154098,1105.2144915248205,943.0606913193075,890.7768879245148,1122.4041528185808,1060.6881073156248,1004.7510935520876,1090.775592941291
26,1228.7053200275113,1384.6353790484898,1230.8375253564982,931.8698378339985,1323.2963455882216,1184.0370549687968,1092.6369290438136,1184.6646399487668,5759.517073416988,1178.1154540737562
27,-5.365720785375357,-5.260943332480667,-10.201544264377716,-20.30639927538715,-5.365720787035726,-10.110395388775503,-5.2609433302941575,-20.30639894406647,-5.365720783080095,-5.365720789119488
28,-20.306398422477077,-10.201543992094944,-5.365720709663753,-5.260943308428617,-5.3657207694020075,-5.365720763991155,-5.365720781424726,-5.3657207664728706,-20.306399197722055,-20.30639905814577
29,-20.306397696809693,-20.30639907755399,-20.306398721754043,-5.365720688244689,-5.260943333422636,-20.306399170197103,-5.3657207521467924,-5.365720641155336,-5.365720746563476,-5.365720777473382
